Date,Description,Amount
2024-03-09,Clinic,-1016
2024-03-10,Flipkart,-1176
2024-03-11,Hospital,-305
2024-03-12,Mobile Recharge,-3686
2024-03-13,Myntra,-801
2024-03-14,Electric Bill,-2434
2024-03-15,Swiggy,-376
2024-03-16,Netflix,-308
2024-03-17,Electric Bill,-1146
2024-03-18,Uber,-379
2024-03-19,Wifi Bill,-699
2024-03-20,Pharmacy,-428
2024-03-21,Ola,-404
2024-03-22,Cafe,-792
2024-03-23,Hospital,-548
2024-03-24,Metro,-82
2024-03-25,Flipkart,-2290
2024-03-26,Swiggy,-196
2024-03-27,Myntra,-2920
2024-03-28,Salary Credit,67872
2024-03-29,Flipkart,-2432
2024-03-30,Uber,-423
2024-03-31,Mobile Recharge,-4633
2024-04-01,Flipkart,-1643
2024-04-02,Swiggy,-248
2024-04-03,Clinic,-847
2024-04-04,Uber,-203
2024-04-05,Flipkart,-2088
2024-04-06,Hospital,-1545
2024-04-07,Myntra,-1645
2024-04-08,Clinic,-740
2024-04-09,Movie,-703
2024-04-10,Swiggy,-701
2024-04-11,Ola,-332
2024-04-12,Ola,-148
2024-04-13,Cafe,-398
2024-04-14,Metro,-234
2024-04-15,Zomato,-453
2024-04-16,Pharmacy,-1238
2024-04-17,Cafe,-649
2024-04-18,Ola,-252
2024-04-19,Uber,-128
2024-04-20,Netflix,-723
2024-04-21,Zomato,-683
2024-04-22,Electric Bill,-1081
2024-04-23,Electric Bill,-1096
2024-04-24,Zomato,-332
2024-04-25,Swiggy,-325
2024-04-26,Swiggy,-781
2024-04-27,Swiggy,-179
2024-04-28,Salary Credit,35248
2024-04-29,Wifi Bill,-1944
2024-04-30,Netflix,-100
2024-05-01,Spotify,-310
2024-05-02,Pharmacy,-1942
2024-05-03,Amazon,-2017
2024-05-04,Metro,-97
2024-05-05,Swiggy,-697
2024-05-06,Cafe,-572
2024-05-07,Uber,-416
2024-05-08,Clinic,-795
2024-05-09,Mobile Recharge,-2011
2024-05-10,Clinic,-806
2024-05-11,Cafe,-135
2024-05-12,Flipkart,-2242
2024-05-13,Electric Bill,-3816
2024-05-14,Mobile Recharge,-3008
2024-05-15,Electric Bill,-2863
2024-05-16,Flipkart,-2786
2024-05-17,Clinic,-1476
2024-05-18,Flipkart,-1931
2024-05-19,Flipkart,-266
2024-05-20,Metro,-442
2024-05-21,Swiggy,-218
2024-05-22,Cafe,-746
2024-05-23,Myntra,-2128
2024-05-24,Swiggy,-766
2024-05-25,Spotify,-479
2024-05-26,Uber,-107
2024-05-27,Pharmacy,-1896
2024-05-28,Salary Credit,55870
2024-05-29,Swiggy,-612
2024-05-30,Amazon,-521
2024-05-31,Myntra,-2984
2024-06-01,Ola,-284
2024-06-02,Ola,-196
2024-06-03,Metro,-198
2024-06-04,Cafe,-479
2024-06-05,Swiggy,-475
2024-06-06,Myntra,-1014
2024-06-07,Spotify,-295
2024-06-08,Electric Bill,-2679
2024-06-09,Zomato,-624
2024-06-10,Myntra,-745
2024-06-11,Zomato,-680
2024-06-12,Flipkart,-735
2024-06-13,Wifi Bill,-2242
2024-06-14,Cafe,-546
2024-06-15,Netflix,-290
2024-06-16,Amazon,-258
2024-06-17,Electric Bill,-2876
2024-06-18,Pharmacy,-205
2024-06-19,Ola,-88
2024-06-20,Flipkart,-869
2024-06-21,Movie,-485
2024-06-22,Amazon,-2822
2024-06-23,Zomato,-491
2024-06-24,Amazon,-2969
2024-06-25,Swiggy,-455
2024-06-26,Pharmacy,-1047
2024-06-27,Hospital,-1324
2024-06-28,Salary Credit,33469
2024-06-29,Mobile Recharge,-3854
2024-06-30,Cafe,-728
2024-07-01,Flipkart,-2385
2024-07-02,Flipkart,-770
2024-07-03,Flipkart,-253
2024-07-04,Swiggy,-178
2024-07-05,Ola,-365
2024-07-06,Ola,-163
2024-07-07,Metro,-225
2024-07-08,Electric Bill,-2865
2024-07-09,Flipkart,-2636
2024-07-10,Pharmacy,-1849
2024-07-11,Spotify,-674
2024-07-12,Uber,-416
2024-07-13,Metro,-350
2024-07-14,Myntra,-2737
2024-07-15,Cafe,-692
2024-07-16,Myntra,-794
2024-07-17,Metro,-363
2024-07-18,Uber,-328
2024-07-19,Myntra,-741
2024-07-20,Cafe,-336
2024-07-21,Flipkart,-1795
2024-07-22,Myntra,-2304
2024-07-23,Electric Bill,-3709
2024-07-24,Myntra,-1221
2024-07-25,Hospital,-442
2024-07-26,Ola,-396
2024-07-27,Flipkart,-2423
2024-07-28,Salary Credit,65997
2024-07-29,Netflix,-602
2024-07-30,Electric Bill,-4290
2024-07-31,Wifi Bill,-2412
2024-08-01,Myntra,-1847
2024-08-02,Pharmacy,-527
2024-08-03,Uber,-310
2024-08-04,Flipkart,-568
2024-08-05,Wifi Bill,-3809
2024-08-06,Wifi Bill,-3549
2024-08-07,Electric Bill,-4064
2024-08-08,Myntra,-2643
2024-08-09,Myntra,-1073
2024-08-10,Wifi Bill,-546
2024-08-11,Flipkart,-2771
2024-08-12,Swiggy,-638
2024-08-13,Uber,-302
2024-08-14,Myntra,-1416
2024-08-15,Amazon,-503
2024-08-16,Uber,-371
2024-08-17,Myntra,-2815
2024-08-18,Hospital,-650
2024-08-19,Swiggy,-207
2024-08-20,Myntra,-2442
2024-08-21,Movie,-1433
2024-08-22,Swiggy,-260
2024-08-23,Netflix,-1438
2024-08-24,Ola,-480
2024-08-25,Hospital,-463
2024-08-26,Hospital,-1259
2024-08-27,Cafe,-764
2024-08-28,Salary Credit,39883
2024-08-29,Cafe,-124
2024-08-30,Metro,-399
2024-08-31,Zomato,-740
2024-09-01,Netflix,-1078
2024-09-02,Swiggy,-636
2024-09-03,Uber,-89
2024-09-04,Uber,-255
2024-09-05,Metro,-182
2024-09-06,Cafe,-559
2024-09-07,Wifi Bill,-4106
2024-09-08,Hospital,-646
2024-09-09,Cafe,-249
2024-09-10,Pharmacy,-1866
2024-09-11,Pharmacy,-717
2024-09-12,Flipkart,-1762
2024-09-13,Clinic,-1353
2024-09-14,Zomato,-577
2024-09-15,Cafe,-187
2024-09-16,Cafe,-202
2024-09-17,Swiggy,-746
2024-09-18,Movie,-1382
2024-09-19,Swiggy,-527
2024-09-20,Electric Bill,-1600
2024-09-21,Zomato,-216
2024-09-22,Pharmacy,-255
2024-09-23,Cafe,-226
2024-09-24,Uber,-225
2024-09-25,Swiggy,-660
2024-09-26,Uber,-350
2024-09-27,Swiggy,-653
2024-09-28,Salary Credit,52616
2024-09-29,Pharmacy,-320
2024-09-30,Cafe,-480
2024-10-01,Hospital,-743
2024-10-02,Pharmacy,-1599
2024-10-03,Amazon,-2851
2024-10-04,Netflix,-341
2024-10-05,Clinic,-327
2024-10-06,Metro,-324
2024-10-07,Flipkart,-1928
2024-10-08,Netflix,-1260
2024-10-09,Mobile Recharge,-1553
2024-10-10,Uber,-129
2024-10-11,Netflix,-1410
2024-10-12,Clinic,-1354
2024-10-13,Myntra,-1504
2024-10-14,Cafe,-184
2024-10-15,Zomato,-700
2024-10-16,Ola,-151
2024-10-17,Cafe,-139
2024-10-18,Mobile Recharge,-1034
2024-10-19,Flipkart,-2008
2024-10-20,Cafe,-488
2024-10-21,Flipkart,-2865
2024-10-22,Wifi Bill,-991
2024-10-23,Netflix,-877
2024-10-24,Myntra,-2218
2024-10-25,Movie,-761
2024-10-26,Ola,-495
2024-10-27,Amazon,-1593
2024-10-28,Salary Credit,50854
2024-10-29,Spotify,-707
2024-10-30,Mobile Recharge,-4975
2024-10-31,Pharmacy,-132
2024-11-01,Cafe,-157
2024-11-02,Zomato,-600
2024-11-03,Metro,-378
2024-11-04,Cafe,-290
2024-11-05,Metro,-418
2024-11-06,Wifi Bill,-4079
2024-11-07,Netflix,-1357
2024-11-08,Uber,-425
2024-11-09,Wifi Bill,-4005
2024-11-10,Netflix,-620
2024-11-11,Flipkart,-1552
2024-11-12,Flipkart,-912
2024-11-13,Metro,-57
2024-11-14,Electric Bill,-1164
2024-11-15,Movie,-867
2024-11-16,Zomato,-792
2024-11-17,Movie,-1270
2024-11-18,Flipkart,-2793
2024-11-19,Cafe,-692
2024-11-20,Ola,-254
2024-11-21,Electric Bill,-1458
2024-11-22,Ola,-131
2024-11-23,Spotify,-1434
2024-11-24,Uber,-448
2024-11-25,Mobile Recharge,-2363
2024-11-26,Flipkart,-1266
2024-11-27,Flipkart,-869
2024-11-28,Salary Credit,47646
2024-11-29,Uber,-228
2024-11-30,Cafe,-607
2024-12-01,Zomato,-302
2024-12-02,Netflix,-1382
2024-12-03,Pharmacy,-427
2024-12-04,Flipkart,-618
2024-12-05,Swiggy,-673
2024-12-06,Hospital,-1673
2024-12-07,Swiggy,-182
2024-12-08,Wifi Bill,-584
2024-12-09,Amazon,-2652
2024-12-10,Metro,-483
2024-12-11,Clinic,-840
2024-12-12,Pharmacy,-1216
2024-12-13,Swiggy,-719
2024-12-14,Amazon,-1155
2024-12-15,Electric Bill,-3328
2024-12-16,Flipkart,-1596
2024-12-17,Flipkart,-691
2024-12-18,Movie,-928
2024-12-19,Cafe,-552
2024-12-20,Amazon,-799
2024-12-21,Cafe,-183
2024-12-22,Zomato,-248
2024-12-23,Zomato,-241
2024-12-24,Wifi Bill,-4902
2024-12-25,Swiggy,-609
2024-12-26,Myntra,-2091
2024-12-27,Cafe,-764
2024-12-28,Salary Credit,55542
2024-12-29,Wifi Bill,-1672
2024-12-30,Amazon,-1735
